id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,show_when_question,show_when_values,evidence_required_raw,evidence_source,collection_method,aws_auto_level,aws_services,question_level_aws_sources,reason_rationale,gcs_auto_level,gcs_services,question_level_gcs_sources
36af6d23-a975-46f2-b35b-5a450f2c8fbf,A1,evidence_document,Network Architecture Diagram Upload,file,False,,[],0,,,".pdf,.png,.jpg,.jpeg,.vsdx,.drawio,.svg,.pptx","Upload a dated network diagram showing the SWIFT secure zone boundary, all in-scope components, firewalls, and data-flow arrows. Accepted formats: PDF, PNG, Visio (.vsdx), draw.io, PowerPoint, SVG. Diagram must be dated within the last 12 months.",2025v,2025-03-01T00:00:00Z,"Upload a dated network diagram (PDF/Visio/PNG) showing the SWIFT secure zone boundary, all in-scope components, firewalls, and data-flow arrows.",,[],Document/File Upload,"AWS + Human, GCS + Human",Mixed (Multi-Cloud + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, Subnets, Route Tables, IGW — ec2:DescribeVpcs + DescribeSubnets + DescribeRouteTables","AWS can auto-generate the underlying configuration snapshot. A formatted, dated, human-reviewed diagram is still required for formal submission.",HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Supporting config data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
0451f4c8-889c-44f3-8002-9e9fcf69bde8,A1,diagram_date,Diagram version / date (must be within last 12 months),date,True,YYYY-MM-DD,[],1,,,,,2025v,2025-03-01T00:00:00Z,Enter the version date of the diagram — it must fall within the last 12 months.,,[],Date confirmation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","Review, approval, and diagram dates are institutional records confirmed by a responsible human owner.",HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory",Timestamp metadata: cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Network)
e0941382-1742-4995-a309-60b319f8926a,A1,internet_exposure_confirmation,Is there any direct internet path from any system inside the secure zone?,select,True,,"[""No"", ""Yes"", ""Unknown""]",2,,,,,2025v,2025-03-01T00:00:00Z,Confirm whether any system inside the secure zone has a path to the internet — No is the expected compliant answer.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config","VPC Route Tables, IGW, Security Groups, NACLs — ec2:DescribeRouteTables, DescribeInternetGateways, DescribeSecurityGroups",AWS can automatically retrieve this configuration state.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Network) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Subnetwork) | compute.routes.list
aeebf2c7-aff2-4dfa-850b-5d45b6b15d7b,A1,internet_exposure_justification,If YES — provide business/technical justification and compensating controls,textarea,False,e.g. No direct internet path exists; proxy used with whitelist and IDS monitoring.,[],3,,4.0,,,2025v,2025-03-01T00:00:00Z,"Required only if answer above is Yes or Unknown — state the business reason, compensating controls, and relevant firewall rule references.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","A human must write the explanatory narrative, justification, or contextual description.",HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Context data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
95e3ff97-62f2-421c-8953-4a2b2302e7b7,A1,zone_boundary_description,Describe how the secure zone boundary is drawn and protected,textarea,True,e.g. Secure zone is isolated via dedicated firewall cluster between DMZ and core LAN.,[],4,,4.0,,,2025v,2025-03-01T00:00:00Z,"Describe the logical/physical method used to isolate the secure zone (e.g., dedicated VLAN, separate switch, firewall policy).",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Zone boundary description is a human-authored architecture decision record.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Context data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
97a829c1-d6b6-48fd-9391-f1694ae782b4,A1,swift_components_visible,Confirm all mandatory SWIFT components are visible inside the zone,select,True,,"[""Yes"", ""No"", ""Partial""]",5,,,,,2025v,2025-03-01T00:00:00Z,"Confirm every in-scope SWIFT component (messaging interface, GUI, HSM, connectors, jump server, operator PCs) is labelled on the diagram.",,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, EKS — ec2:DescribeInstances, DescribeVpcs",AWS can enumerate running instances and VPCs to cross-check against declared in-scope components.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Network) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Subnetwork) | compute.routes.list
1c4b40c6-2645-4473-8990-e2e6d5a7da4c,A1,customer_connector_zone,Customer connector zone boundary shown on diagram? (A1 architecture — advisory component),select,False,,"[""Yes"", ""No"", ""N/A""]",6,,,,,2025v,2025-03-01T00:00:00Z,For A1 architecture only — confirm whether the customer connector zone boundary is drawn on the diagram. Customer client connectors are advisory in-scope in v2025.,,[],Configuration state confirmation (Yes/No/Status),"AWS, GCS",Automated (Multi-Cloud),MEDIUM,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Customer client connectors are advisory in-scope under v2025 (bracket notation in 1.1). Inclusion is best practice.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory",cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Network) | cloudasset.assets.searchAllResources (assetType=compute.googleapis.com/Subnetwork) | compute.routes.list
348bebac-727d-4388-af56-c274dfcf9e01,A1,protocol_encryption_notes,Protocol and encryption annotations on data flows,textarea,True,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],7,,4.0,,,2025v,2025-03-01T00:00:00Z,"List each inter-component flow with the protocol used (e.g., LAU+TLS, two-way TLS, TLS 1.2+) and flag any unencrypted flows.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Protocol annotations are institutional knowledge; a human must document and verify each flow.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Context data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
2a1c29e5-b987-413f-b84d-543902b76202,A1,backoffice_path_summary,Back-office connectivity paths shown on diagram (advisory — Control 2.4A),textarea,False,e.g. All items reviewed and compliant; 0 exceptions identified in latest assessment.,[],8,,4.0,,,2025v,2025-03-01T00:00:00Z,"Advisory in v2025. Summarise which back-office systems connect to the secure zone, through what path (direct or via bridging server), and the encryption used. Preparation recommended for v2026 mandatory requirement.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),MEDIUM,,,Control 2.4A is advisory in v2025. Documenting back-office paths now supports the v2026 mandatory transition.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Context data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
6e2e1d2b-68e5-4ff4-b9c9-48dda6c0d65f,A1,known_gaps_and_plan,Known documentation gaps and planned remediation,textarea,False,e.g. No gaps identified; all controls meet CSCF v2026 requirements.,[],9,,4.0,,,2025v,2025-03-01T00:00:00Z,"List any incomplete labels, missing flows, or components not yet documented, and state the planned remediation date.",,[],Free-text narrative / explanation,GCS + Human,Mixed (GCP + Human),NONE,,,Gap logging is an institutional record authored by the responsible team.,HIGH,"Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory","Context data: Compute Engine (VPC), Cloud Router, Cloud NAT, Cloud VPN, Cloud Interconnect, Cloud Asset Inventory"
