id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,show_when_question,show_when_values,evidence_required_raw,evidence_source,collection_method,aws_auto_level,aws_services,question_level_aws_sources,reason_rationale
61bbea84-a7bd-48c3-b404-353816f066fe,A3,evidence_document,Upload data flow diagrams,file,FALSE,,[],0,,,,Drop A3 data flow diagrams or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,AWS + Human,Mixed,MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, TGW Flow Logs, VPC Peering, VPN Tunnels — ec2:DescribeFlowLogs, DescribeVpcPeeringConnections, DescribeVpnConnections","AWS (VPC Flow Logs, CloudWatch, TGW) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
27a1b6e6-f3bd-41ad-aed2-3c0934100d29,A3,flow_inventory_notes,Data flow inventory clarifications,textarea,TRUE,List any flows not fully visible on the diagram...,[],1,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, CloudWatch, TGW","While AWS (VPC Flow Logs, CloudWatch, TGW) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
70fd63f0-c56b-460f-8698-36199d57e83e,A3,unprotected_legacy_flows,Unprotected/legacy flows and risk status,textarea,TRUE,Identify any legacy flows without end-to-end protection...,[],2,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,N/A — Human narrative required,"Narrative fields require human-authored explanation of scope, rationale, or contextual description."
97f746ca-046a-4da3-ab11-2a977ead4221,A3,hsm_flow_details,HSM connection flow details,textarea,TRUE,Describe HSM flows if not fully shown on diagram...,[],3,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, CloudWatch, TGW","While AWS (VPC Flow Logs, CloudWatch, TGW) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
b6aa3ffb-1e1d-4cbc-af4f-516c114baa0d,A3,encryption_method_summary,Encryption method summary per flow type,textarea,TRUE,Summarize encryption methods...,[],4,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, CloudWatch, TGW","While AWS (VPC Flow Logs, CloudWatch, TGW) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
2f0519ba-25ed-482d-9e3a-4f0e227bb014,A3,cross_environment_details,Cross-environment flow details,textarea,TRUE,Describe any on-prem to cloud flows...,[],5,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, CloudWatch, TGW","While AWS (VPC Flow Logs, CloudWatch, TGW) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
a670cc5f-9968-464a-b9d4-5b4a3161c8c8,A3,known_gaps,Known documentation gaps and remediation plan,textarea,TRUE,Document any missing flow details...,[],6,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,"VPC Flow Logs, CloudWatch, TGW","VPC Flow Logs, CloudWatch, TGW","While AWS (VPC Flow Logs, CloudWatch, TGW) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
3dccd1a1-f581-432c-9b02-1d8d35ce0326,A4,evidence_document,Upload firewall config exports,file,FALSE,,[],0,,,,Drop firewall rule set exports or click to upload,2025v,2026-03-11T07:57:00.243642Z,,,[],Document/File Upload,AWS + Human,Mixed,HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF WebACLs — ec2:DescribeSecurityGroups, DescribeNetworkAcls, network-firewall:DescribeRuleGroup, wafv2:GetWebACL","AWS (EC2, Network Firewall, WAF, AWS Config) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
ab80eb58-75dc-42c5-af79-81d95427965b,A4,firewall_inventory,List all firewalls at secure zone boundaries,textarea,TRUE,"List each firewall: name/model, boundary protected...",[],1,,3,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"EC2, Network Firewall, WAF, AWS Config","Security Groups, NACLs, Network Firewall, WAF","While AWS (EC2, Network Firewall, WAF, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
59791ed4-166a-4530-90ec-1d87054caea1,A4,deny_default_confirmation,Deny-by-default posture confirmed for all rulesets?,select,TRUE,,"[""Yes"", ""No""]",2,,,,,2025v,2026-03-11T07:57:00.243642Z,,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"EC2, Network Firewall, WAF, AWS Config","Network Firewall stateless/stateful rules, NACLs — network-firewall:DescribeRuleGroup, ec2:DescribeNetworkAcls (default deny check)","AWS (EC2, Network Firewall, WAF, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeSecurityGroups, DescribeNetworkAcls, network-firewall:DescribeRuleGroup, wafv2:GetWebACL."
