item_code,control_id,evidence_item_name,control_name,ma,evidence_type,sufficiency_criteria,evaluation_criteria,cscf_version,created_at
A2,1.1,SWIFT component inventory,SWIFT Environment Protection,M,Spreadsheet,"{
  ""sufficiency_criteria"": [
    ""Complete list of ALL systems within secure zone: hostname, IP address, OS version, function/role"",
    ""Each system tagged with zone membership: Secure Zone, Customer Zone, DMZ, Enterprise"",
    ""Component type classification per system: messaging interface, communication interface, GUI, SwiftNet Link, HSM, connector, jump server, dedicated PC, general-purpose PC, network device"",
    ""Test vs production status clearly marked"",
    ""Co-hosted systems identified (VMs sharing same host)"",
    ""Live, backup, and DR environment systems all listed"",
    ""Systems excluded from zone with documented justification""
  ]
}","{
  ""pass_if"": [
    ""All 7+ SWIFT component types represented in inventory"",
    ""Every system has hostname, IP, OS, zone membership"",
    ""Test systems marked as excluded with separation justification""
  ],
  ""fail_if"": [
    ""Fewer systems than expected for declared architecture type"",
    ""Missing component types (e.g., no HSM listed for A1/A2)"",
    ""No zone membership indicator""
  ],
  ""cross_checks"": [
    ""Every system must appear on A1 diagram"",
    ""Count of systems must be consistent with D2 patch levels and B1 hardening configs""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A2,1.5,SWIFT component inventory,Customer Environment Protection,M,Spreadsheet,"{
  ""sufficiency_criteria"": [
    ""All customer connectors (SWIFT/customer connector type) listed with hostname, IP, type, zone placement (A1 architecture only)"",
    ""Dedicated PCs for customer connectivity zone listed"",
    ""Jump server for customer zone identified"",
    ""Alliance Connect VPN boxes/instances listed"",
    ""Customer connector associated HSMs identified where applicable"",
    ""Note (v2025): Customer client connectors are advisory in-scope \u2014 their inclusion in the inventory is advisory, not mandatory; inclusion earns positive assessor credit""
  ]
}","{
  ""pass_if"": [
    ""All mandatory customer connectors in inventory with zone placement"",
    ""Associated equipment (PCs, jump server) listed for customer zone""
  ],
  ""fail_if"": [
    ""Mandatory customer connectors (not client connectors) missing from inventory""
  ],
  ""applicability"": [
    ""Architecture A1 only""
  ],
  ""notes"": [
    ""Customer client connectors are advisory in-scope in v2025 (bracket notation in Control 1.1, 1.2, 2.3 etc)""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A2,2.4A,SWIFT component inventory,Back Office Data Flow Security,A,Spreadsheet,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.4A) \u2014 mandatory from v2026"",
    ""Bridging servers (middleware/file transfer) explicitly identified in inventory where deployed: hostname, IP, function, zone placement"",
    ""Dedicated vs shared status per bridging server documented if available"",
    ""Data exchange role documented: which back-office systems connect through each bridging server"",
    ""Network placement relative to secure zone boundary indicated"",
    ""New vs legacy flow association per bridging server noted if applicable"",
    ""SWIFT recommends starting this inventory now as preparation for v2026""
  ]
}","{
  ""pass_if"": [
    ""Bridging servers identified with complete details if deployed (advisory \u2014 not required for v2025 pass)"",
    ""Dedicated/shared status documented where applicable""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory"",
    ""If documented: must match bridging servers on A1 and A3 diagrams""
  ],
  ""notes"": [
    ""Advisory control in v2025 \u2014 mandatory from v2026""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A2,2.8,SWIFT component inventory,Outsourced Critical Activity Protection,M,Spreadsheet,"{
  ""sufficiency_criteria"": [
    ""Components managed by third parties flagged with: vendor name, service type, access level"",
    ""Mapping of which vendors have access to which SWIFT components"",
    ""Remote vs on-site management indicated"",
    ""Cloud-hosted components identified with provider"",
    ""Components managed by SWIFT connectivity providers identified separately"",
    ""Outsourcing agent vs connectivity provider distinction noted""
  ]
}","{
  ""pass_if"": [
    ""All third-party managed components flagged"",
    ""Vendor-to-component mapping complete"",
    ""Cloud-hosted vs on-prem distinction clear""
  ],
  ""fail_if"": [
    ""Components with no management ownership indicated"",
    ""Third-party access not documented""
  ],
  ""cross_checks"": [
    ""Vendors must match F1 vendor inventory; access must be in C3 user access list""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A3,2.1,Data flow diagrams,Internal Data Flow Security,M,Diagram,"{
  ""sufficiency_criteria"": [
    ""All internal data flows between SWIFT components shown with: source, destination, direction, protocol"",
    ""Specific flows: Local RMA↔messaging, GUI↔messaging, GUI↔communication, messaging↔communication"",
    ""Protocol per flow: LAU+TLS, two-way TLS, or alternative secure mechanism"",
    ""Flows crossing zone boundaries highlighted"",
    ""Cross-environment flows (on-prem to cloud) explicitly marked"",
    ""Credential/key protection method per flow noted""
  ]
}","{
  ""pass_if"": [
    ""All expected inter-component flows documented with protocols"",
    ""Direction and encryption method per flow visible""
  ],
  ""fail_if"": [
    ""Missing flows between known components (compare to A2 inventory)"",
    ""Flows shown without security mechanism annotation""
  ],
  ""cross_checks"": [
    ""Encryption config details verified in B3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A3,2.4A,Data flow diagrams,Back Office Data Flow Security,A,Diagram,"{
  ""sufficiency_criteria"": [
    ""ADVISORY in v2025 (Control 2.4A) \u2014 mandatory from v2026"",
    ""Back-office to secure zone flows shown where documented: source back-office system, destination SWIFT component, bridging servers in path"",
    ""Flow classification: direct (point-to-point) vs indirect (through bridging servers) where applicable"",
    ""Security method per flow/segment documented where available: end-to-end (LAU, XML DSIG, AES-GCM) or per-leg TLS"",
    ""New flows (post-2025) vs legacy flows distinguished where applicable"",
    ""HSM-related flows separately shown if applicable"",
    ""Risk assessment status for any unprotected legacy flows noted if documented""
  ]
}","{
  ""pass_if"": [
    ""Back-office flows mapped with complete path where documented (advisory \u2014 not required for v2025 pass)"",
    ""Flow classification present if documented"",
    ""Security method noted per flow where documented""
  ],
  ""fail_if"": [
    ""No score penalty in v2025 for absence \u2014 this is advisory"",
    ""If documented: flows must be consistent with A2 bridging server inventory and B3 encryption config""
  ],
  ""notes"": [
    ""Advisory control in v2025 \u2014 mandatory from v2026; SWIFT recommends early identification per Appendix H phased approach""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A3,2.5A,Data flow diagrams,External Transmission Data Protection,A,Diagram,"{
  ""sufficiency_criteria"": [
    ""External transmission paths shown: backup replication, data extraction, offline processing, cross-datacenter transfers"",
    ""Encryption method annotated per external path: TLS for transit, AES for data at rest"",
    ""SAN/NAS connectivity paths identified"",
    ""Cloud storage paths with encryption requirements shown"",
    ""Paths between secure zones across different environments marked""
  ]
}","{
  ""pass_if"": [
    ""External paths documented with encryption annotations"",
    ""Backup and replication paths included""
  ],
  ""fail_if"": [
    ""No external paths despite backups existing""
  ],
  ""cross_checks"": [
    ""Encryption details verified in B3""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A5,ALL,Architecture type declaration,All 32 Controls (Scoping),M,Form / Declaration,"{""1"": ""Formal declaration of architecture type: A1, A2, A3, A4, or B"", ""2"": ""Decision rationale documented: why this architecture type applies"", ""3"": ""Key infrastructure characteristics supporting the declaration (A1: customer connector; A2: owns messaging/communication interface; A3: application at service provider via connector; A4: service provider without dedicated SWIFT component; B: exclusively SWIFT services through back-office applications)"", ""4"": ""SWIFT BIC(s) covered by this assessment listed"", ""5"": ""Changes from previous architecture type noted (if applicable)"", ""6"": ""Multiple architectures per institution flagged if applicable""}","{""1"": ""Architecture type formally declared with rationale"", ""2"": ""BIC(s) listed for scope"", ""3"": ""Declaration matches actual infrastructure in A2"", ""4"": ""No formal declaration"", ""5"": ""Declared type contradicts component inventory (e.g., declared A4 but has messaging interface)"", ""6"": ""SCOPING IMPACT: Drives applicability of all 32 controls — validate before proceeding""}",2025v,2026-03-03T10:08:46.123706Z
A4,1.1,Firewall rule sets,SWIFT Environment Protection,M,Config Export,"{
  ""sufficiency_criteria"": [
    ""Rule sets from EVERY firewall at secure zone boundary exported"",
    ""Deny-by-default posture confirmed: explicit default-deny rule at end of each ruleset"",
    ""Only explicitly permitted traffic allowed (allowlisting approach) — no 'allow any' rules"",
    ""Each rule has: source, destination, port, protocol, action, direction (inbound/outbound)"",
    ""Rules categorised: back-office connectivity, MV-SIPN/internet, operator PC to jump server, admin/backup outbound"",
    ""Evidence of annual firewall rule review: signed review record with date, reviewer, findings"",
    ""Shared firewall status documented: if firewall also protects non-SWIFT zones, management separation confirmed"",
    ""Admin access to firewalls not using enterprise authentication system""
  ]
}","{
  ""pass_if"": [
    ""Default-deny at end of every ruleset"",
    ""No 'allow any' rules present"",
    ""Every rule has source/dest/port/protocol/action"",
    ""Annual review evidence with sign-off date within 12 months""
  ],
  ""fail_if"": [
    ""'Allow any' rules found in ruleset"",
    ""No default-deny posture"",
    ""Rules permitting direct internet from zone components"",
    ""No annual review evidence""
  ],
  ""cross_checks"": [
    ""Firewalls match placement on A1 diagram""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
A4,1.4,Firewall rule sets,Restriction of Internet Access,M,Config Export,"{
  ""sufficiency_criteria"": [
    ""Explicit deny rules for outbound internet from ALL secure zone systems"",
    ""Jump server internet access explicitly blocked in rules"",
    ""If allowlisted URL access exists: proxy destination rules with content inspection noted"",
    ""General-purpose operator PC internet rules: through proxy/web gateway only"",
    ""Any internet exception rules documented with: justification, approval, review date"",
    ""Dedicated operator PC internet rules: highly restricted or blocked""
  ]
}","{
  ""pass_if"": [
    ""Explicit deny for outbound internet from zone"",
    ""Jump server has no internet-permitting rule"",
    ""Any exceptions documented with justification""
  ],
  ""fail_if"": [
    ""No deny rules for internet from zone"",
    ""Broad internet access permitted from zone systems"",
    ""Jump server has internet-permitting rule""
  ]
}",2025v,2026-03-03T10:08:46.123706Z
