id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,Evidence Required,Evidence Source,Collection Method,AWS Auto Level,AWS Services,Question-Level AWS Sources,Reason / Rationale
6fdfcccf-6416-4fa3-b84a-942d772dac6c,A1,evidence_document,Network Architecture Diagram Upload,file,False,,[],0,,,".pdf,.png,.jpg,.jpeg,.vsdx,.drawio,.svg,.pptx","Upload your SWIFT secure zone network architecture diagram. Accepted formats: PDF, PNG, Visio (.vsdx), draw.io, PowerPoint, SVG. The diagram must show: zone boundaries, firewalls, all SWIFT components, back-office paths, and operator PC classification. Diagram must be dated within the last 12 months.",2026v,2026-03-11T07:57:01.270097Z,"Upload a dated network diagram (PDF/Visio/PNG) showing the SWIFT secure zone boundary, all in-scope components, firewalls, and data-flow arrows.",Document/File Upload,AWS + Human,Mixed,HIGH,"Amazon VPC, EC2, AWS Config","VPC, Subnets, Route Tables, IGW, NAT GW, TGW — ec2:DescribeVpcs + DescribeSubnets + DescribeRouteTables","AWS (Amazon VPC, EC2, AWS Config) can auto-generate the underlying configuration snapshot. However, a formatted, dated, human-reviewed document/file is still required for formal submission. AWS evidence supplements and validates the upload."
8d28f8f3-2f1b-4256-b159-aaaf0e59887d,A1,diagram_date,Diagram version / date (must be within last 12 months),date,True,YYYY-MM-DD,[],1,,,,,2026v,2026-03-11T07:57:01.270097Z,Enter the version date of the diagram — it must fall within the last 12 months.,Date confirmation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","Review, approval, and policy dates are institutional records that must be confirmed by a responsible human owner."
3bd78280-59c1-4855-a018-b2c909420a6a,A1,internet_exposure_confirmation,Is there any direct internet path from any system inside the secure zone?,select,True,,"[""No"",""Yes"",""Unknown""]",2,,,,,2026v,2026-03-11T07:57:01.270097Z,Confirm whether any system inside the secure zone has a path to the internet — 'No' is the expected compliant answer.,Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","VPC Route Tables, IGW, Security Groups, NACLs — ec2:DescribeRouteTables, DescribeInternetGateways, DescribeSecurityGroups, DescribeNetworkAcls","AWS (Amazon VPC, EC2, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeVpcs, DescribeSubnets, DescribeRouteTables, DescribeInternetGateways, DescribeNatGateways, DescribeTransitGateways."
54be8dad-be49-4179-bfaf-a5aa808ecfb6,A1,internet_exposure_justification,If YES — provide business/technical justification and compensating controls,textarea,False,e.g. No direct internet path exists; proxy used with whitelist and IDS monitoring.,[],3,,,4,,2026v,2026-03-11T07:57:01.270097Z,"Required only if answer above is Yes or Unknown — state the business reason, compensating controls, and relevant firewall rule references.",Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","While AWS (Amazon VPC, EC2, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
b842d349-2267-4d2a-bd5e-c246a0244c3b,A1,zone_boundary_description,Describe how the secure zone boundary is drawn and protected,textarea,True,e.g. Secure zone is isolated via dedicated firewall cluster between DMZ and core LAN.,[],4,,,4,,2026v,2026-03-11T07:57:01.270097Z,"Describe the logical/physical method used to isolate the secure zone (e.g., dedicated VLAN, separate switch, firewall policy).",Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","While AWS (Amazon VPC, EC2, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
76a7f367-6f5f-4798-84d5-d3b489462578,A1,swift_components_visible,Confirm all SWIFT components are visible inside the zone,select,True,,"[""All components visible and labelled"",""Most visible — some unlabelled"",""Some components outside zone with justification"",""Not all components visible""]",5,,,,,2026v,2026-03-11T07:57:01.270097Z,"Confirm every in-scope SWIFT component (messaging interface, GUI, HSM, connectors, jump server, operator PCs) is labelled on the diagram.",Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2 Instances, RDS, ELB — ec2:DescribeInstances (SWIFT-role tag filter), ssm:DescribeInstanceInformation","AWS (Amazon VPC, EC2, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeVpcs, DescribeSubnets, DescribeRouteTables, DescribeInternetGateways, DescribeNatGateways, DescribeTransitGateways."
7dc37f6a-583e-402f-92cd-53398eb139fa,A1,bridging_servers_shown,Are bridging servers identified with network placement on the diagram? (v2026 mandatory),select,True,,"[""Yes"",""No — not applicable"",""No — needs to be added""]",6,,,,,2026v,2026-03-11T07:57:01.270097Z,Confirm whether bridging/middleware servers are drawn and positioned on the diagram — mandatory for v2026.,Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","EC2 Instances (tag: swift-role=bridging), VPC Subnet placement — ec2:DescribeInstances, DescribeSubnets","AWS (Amazon VPC, EC2, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeVpcs, DescribeSubnets, DescribeRouteTables, DescribeInternetGateways, DescribeNatGateways, DescribeTransitGateways."
a210ddef-6fc2-43b0-8125-346fa5ec027f,A1,customer_connector_shown,Are customer client connectors shown and labelled? (v2026 mandatory for A1/A4),select,True,,"[""Yes"",""No — not applicable"",""No — needs to be added""]",7,,,,,2026v,2026-03-11T07:57:01.270097Z,Confirm whether customer client connectors are labelled on the diagram — mandatory for A1/A4 architectures in v2026.,Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","EC2 Instances (tag: swift-role=customer-connector), VPC topology — ec2:DescribeInstances, DescribeVpcs","AWS (Amazon VPC, EC2, AWS Config) can automatically retrieve this configuration state. APIs: ec2:DescribeVpcs, DescribeSubnets, DescribeRouteTables, DescribeInternetGateways, DescribeNatGateways, DescribeTransitGateways."
45f878be-b776-40f1-9f42-36e733bb7e70,A1,protocol_encryption_notes,Protocol/encryption annotations on data flows — clarifications,textarea,True,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],8,,,4,,2026v,2026-03-11T07:57:01.270097Z,"List each inter-component flow with the protocol used (e.g., LAU+TLS, two-way TLS, TLS 1.2+) and flag any unencrypted flows.",Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","While AWS (Amazon VPC, EC2, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
751da69c-04f3-45db-98d1-9dd63cc3432f,A1,backoffice_path_summary,Back-office connectivity summary (v2026 — now mandatory under Control 2.4),textarea,True,e.g. All items reviewed and compliant; 0 exceptions identified in latest assessment.,[],9,,,4,,2026v,2026-03-11T07:57:01.270097Z,"Summarise which back-office systems connect to the secure zone, through what path (direct or via bridging server), and the encryption used.",Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","While AWS (Amazon VPC, EC2, AWS Config) can provide supporting configuration data, a human must write the explanatory narrative, justification, or contextual description required by this field."
