id,evidence_item_id,question_key,label,question_type,required,placeholder,options,sort_order,control_id,rows,accept,upload_label,cscf_version,created_at,guide,show_when_question,show_when_values,evidence_required_raw,evidence_source,collection_method,aws_auto_level,aws_services,question_level_aws_sources,reason_rationale,answers
36af6d23-a975-46f2-b35b-5a450f2c8fbf,A1,evidence_document,Network Architecture Diagram Upload,file,False,,[],0,,,".pdf,.png,.jpg,.jpeg,.vsdx,.drawio,.svg,.pptx","Upload a dated network diagram showing the SWIFT secure zone boundary, all in-scope components, firewalls, and data-flow arrows. Accepted formats: PDF, PNG, Visio (.vsdx), draw.io, PowerPoint, SVG. Diagram must be dated within the last 12 months.",2025v,2025-03-01T00:00:00Z,"Upload a dated network diagram (PDF/Visio/PNG) showing the SWIFT secure zone boundary, all in-scope components, firewalls, and data-flow arrows.",,[],Document/File Upload,AWS + Human,Mixed,HIGH,"Amazon VPC, EC2, AWS Config","VPC, Subnets, Route Tables, IGW — ec2:DescribeVpcs + DescribeSubnets + DescribeRouteTables","AWS can auto-generate the underlying configuration snapshot. A formatted, dated, human-reviewed diagram is still required for formal submission.",SWIFT_Network_Architecture_Diagram_v2025.pdf
0451f4c8-889c-44f3-8002-9e9fcf69bde8,A1,diagram_date,Diagram version / date (must be within last 12 months),date,True,YYYY-MM-DD,[],1,,,,,2025v,2025-03-01T00:00:00Z,Enter the version date of the diagram — it must fall within the last 12 months.,,[],Date confirmation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","Review, approval, and diagram dates are institutional records confirmed by a responsible human owner.",2024-09-15
e0941382-1742-4995-a309-60b319f8926a,A1,internet_exposure_confirmation,Is there any direct internet path from any system inside the secure zone?,select,True,,"[""No"", ""Yes"", ""Unknown""]",2,,,,,2025v,2025-03-01T00:00:00Z,Confirm whether any system inside the secure zone has a path to the internet — No is the expected compliant answer.,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","VPC Route Tables, IGW, Security Groups, NACLs — ec2:DescribeRouteTables, DescribeInternetGateways, DescribeSecurityGroups",AWS can automatically retrieve this configuration state.,No
aeebf2c7-aff2-4dfa-850b-5d45b6b15d7b,A1,internet_exposure_justification,If YES — provide business/technical justification and compensating controls,textarea,False,e.g. No direct internet path exists; proxy used with whitelist and IDS monitoring.,[],3,,4.0,,,2025v,2025-03-01T00:00:00Z,"Required only if answer above is Yes or Unknown — state the business reason, compensating controls, and relevant firewall rule references.",,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config","A human must write the explanatory narrative, justification, or contextual description.","Not applicable — the preceding question confirmed ""No"" direct internet path exists from any system inside the SWIFT secure zone. This field is not required. No business or technical justification is needed as there is no internet exposure to account for."
95e3ff97-62f2-421c-8953-4a2b2302e7b7,A1,zone_boundary_description,Describe how the secure zone boundary is drawn and protected,textarea,True,e.g. Secure zone is isolated via dedicated firewall cluster between DMZ and core LAN.,[],4,,4.0,,,2025v,2025-03-01T00:00:00Z,"Describe the logical/physical method used to isolate the secure zone (e.g., dedicated VLAN, separate switch, firewall policy).",,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Zone boundary description is a human-authored architecture decision record.,"The SWIFT secure zone is established as a logically and physically isolated network segment. A dedicated VLAN (VLAN 100) carries all SWIFT traffic, segregated from enterprise VLANs at Layer 3 by a Palo Alto PA-3440 next-generation stateful firewall deployed at every ingress and egress point. Physical isolation is enforced through dedicated rack space in a Tier-3 data centre with no cross-connections to enterprise cabling. Authentication is handled by a zone-local Active Directory forest (SWIFT.LOCAL) — entirely separate from the enterprise forest (CORP.LOCAL) — preventing any lateral movement via Kerberos or LDAP. All external access is funnelled through the jump server (SWIFT-JUMP-01) which enforces hardware MFA before any zone access is permitted."
97a829c1-d6b6-48fd-9391-f1694ae782b4,A1,swift_components_visible,Confirm all mandatory SWIFT components are visible inside the zone,select,True,,"[""Yes"", ""No"", ""Partial""]",5,,,,,2025v,2025-03-01T00:00:00Z,"Confirm every in-scope SWIFT component (messaging interface, GUI, HSM, connectors, jump server, operator PCs) is labelled on the diagram.",,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, EKS — ec2:DescribeInstances, DescribeVpcs",AWS can enumerate running instances and VPCs to cross-check against declared in-scope components.,Yes
1c4b40c6-2645-4473-8990-e2e6d5a7da4c,A1,customer_connector_zone,Customer connector zone boundary shown on diagram? (A1 architecture — advisory component),select,False,,"[""Yes"", ""No"", ""N/A""]",6,,,,,2025v,2025-03-01T00:00:00Z,For A1 architecture only — confirm whether the customer connector zone boundary is drawn on the diagram. Customer client connectors are advisory in-scope in v2025.,,[],Configuration state confirmation (Yes/No/Status),AWS,Automated (AWS),MEDIUM,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Customer client connectors are advisory in-scope under v2025 (bracket notation in 1.1). Inclusion is best practice.,
348bebac-727d-4388-af56-c274dfcf9e01,A1,protocol_encryption_notes,Protocol and encryption annotations on data flows,textarea,True,e.g. [Enter your response here — one or two sentences describing the relevant detail].,[],7,,4.0,,,2025v,2025-03-01T00:00:00Z,"List each inter-component flow with the protocol used (e.g., LAU+TLS, two-way TLS, TLS 1.2+) and flag any unencrypted flows.",,[],Free-text narrative / explanation,Human,Manual (Human),HIGH,"Amazon VPC, EC2, AWS Config","VPC, EC2, AWS Config",Protocol annotations are institutional knowledge; a human must document and verify each flow.,"All data flows within the SWIFT secure zone are documented on the architecture diagram with encryption protocol annotations:
- Alliance Access ↔ SNL: TLS 1.3 (AES-256-GCM), internal SWIFT-to-SWIFT flows
- Operator GUI ↔ Alliance Access: HTTPS/TLS 1.3 (ECDHE-RSA-AES256-GCM-SHA384)
- HSM ↔ Messaging Interface: Luna HSM Network Trust Link, AES-256, TCP/1792, dedicated HSM VLAN
- Alliance Access ↔ SWIFTNet Link outbound: TLS 1.3 (SWIFT-managed PKI)
- All legacy protocols (SSLv3, TLS 1.0, TLS 1.1) are disabled at both firewall and application layers."
2a1c29e5-b987-413f-b84d-543902b76202,A1,backoffice_path_summary,Back-office connectivity paths shown on diagram (advisory — Control 2.4A),textarea,False,e.g. All items reviewed and compliant; 0 exceptions identified in latest assessment.,[],8,,4.0,,,2025v,2025-03-01T00:00:00Z,"Advisory in v2025. Summarise which back-office systems connect to the secure zone, through what path (direct or via bridging server), and the encryption used. Preparation recommended for v2026 mandatory requirement.",,[],Free-text narrative / explanation,Human,Manual (Human),MEDIUM,,,Control 2.4A is advisory in v2025. Documenting back-office paths now supports the v2026 mandatory transition.,Advisory — Control 2.4A: Back-office connectivity is illustrated on the architecture diagram as an advisory element. The SAP ERP system connects to the SWIFT messaging interface via a dedicated application integration layer using HTTPS/TLS 1.3 over a controlled inter-VLAN route permitted by a specific firewall rule. The back-office server is not inside the SWIFT secure zone; only the approved integration API endpoint is reachable. This advisory control is documented here for completeness; full encryption configuration is in B3.
6e2e1d2b-68e5-4ff4-b9c9-48dda6c0d65f,A1,known_gaps_and_plan,Known documentation gaps and planned remediation,textarea,False,e.g. No gaps identified; all controls meet CSCF v2026 requirements.,[],9,,4.0,,,2025v,2025-03-01T00:00:00Z,"List any incomplete labels, missing flows, or components not yet documented, and state the planned remediation date.",,[],Free-text narrative / explanation,Human,Manual (Human),NONE,,,Gap logging is an institutional record authored by the responsible team.,"No critical documentation gaps identified. All mandatory diagram elements are present and current (diagram dated 2024-09-15, within 12 months). Minor enhancement planned: addition of management VLAN detail to the diagram in Q1 2025. Next scheduled diagram review: Q3 2025."
05a9a157-1edf-4f66-8097-5fb6e648ab34,A2,evidence_document,SWIFT Component Inventory Upload,file,False,,[],0,,,".pdf,.xlsx,.csv,.ods","Upload the SWIFT component inventory (XLSX, CSV, or PDF). Must include hostname, IP, OS, function, physical/virtual flag, and third-party managed flag for every system.",2025v,2025-03-01T00:00:00Z,Upload the SWIFT component inventory as a structured spreadsheet or CMDB extract.,,[],Document/File Upload,AWS + Human,Mixed,HIGH,"Amazon VPC, EC2, AWS Config, Systems Manager","ec2:DescribeInstances, ssm:GetInventory, config:ListDiscoveredResources",AWS Systems Manager Inventory and Config can enumerate running instances and configurations to auto-populate a baseline inventory.,SWIFT_Component_Inventory_v2025.xlsx
